Orbit #,"(7,2)start","(7,2)end","(7,1)start","(7,1)end","(7,0)start","(7,0)end",
,,,,,,,
270,,,,,,,No clouds
,,,,,,,
315,,,,,,,No clouds
,,,,,,,
360,,,,,,,"Lots of interference, not sure this is usable"
,,,,,,,
405,787,815,797,822,805,864,
405,,,827,847,,,
405,1019,1295,1036,1295,1091,1295,"Not sure how accurate this section is, image is pretty shot. Please reveiew."
,,,,,,,
450,573,597,563,588,561,580,
450,602,623,600,625,604,620,
450,664,674,645,722,645,714,
450,694,729,,,,,
,,,,,,,
495,146,165,146,158,,,
495,193,206,208,226,214,224,
495,233,244,246,449,239,454,
495,244,435,,,,,
495,,,,,546,556,
495,1043,1365,1078,1365,1097,1365,
,,,,,,,
545,184,616,137,683,129,167,
545,,,,,187,259,
545,,,,,265,609,
545,809,851,,,816,834,
545,,,,,914,938,
,,,,,,,
590,0,25,0,33,0,54,
590,80,363,93,125,128,146,
590,,,214,269,223,342,
590,,,342,369,,,
590,379,398,383,400,374,409,
590,1367,1430,1353,1430,1360,1430,
,,,,,,,
635,,,207,231,198,237,Good waves mid to end
635,,,259,318,274,309,
,,,,,,,
815,241,255,,,,,
815,870,887,839,872,843,872,Cloud
815,1090,1185,1077,1174,1091,1123,Cloud
,,,,,,,
1130,,,,,259,267,
1130,297,320,276,320,,,
1130,,,907,930,,,
1130,,,1112,1134,,,
1130,1183,1255,1212,1232,,,
1130,,,,,,,
,,,,,,,
1175,18,81,0,14,0,16,
1175,,,22,82,,,
1175,93,124,,,,,
1175,137,152,,,,,
1175,,,259,274,,,
1175,303,345,303,351,,,
,,,,,,,
1265,,,,,,,
,,,,,,,
1310,,,,,485,503,
1310,763,772,,,,,
1310,791,860,,,,,
,,,,,,,
1355,860,914,884,895,,,
1355,,,902,915,,,
1355,945,972,944,957,,,
1355,978,1027,961,1031,971,1025,
1355,,,,,1036,1059,
1355,,,,,1059,1081,
1355,,,,,1166,1180,
,,,,,,,
1400,,,,,92,104,
1400,244,270,237,264,,,
1400,814,868,826,850,,,
1400,,,,,893,918,
,,,,,,,
1445,58,76,,,,,
1445,135,149,138,158,128,162,
1445,584,634,606,639,,,
1445,,,,,728,771,
1445,,,,,773,787,
1445,,,,,1145,1178,
,,,,,,,
1490,282,371,303,377,308,388,
1490,,,410,426,394,426,
1490,440,457,,,429,460,
1490,491,649,481,666,475,643,
,,,,,,,
2525,442,480,458,470,,,"May Orbit ID start here. Weird, sporadic lights till about orbit 427."
2525,,,487,496,,,
2525,514,540,498,537,,,
2525,545,570,545,614,571,610,
2525,572,588,,,,,
2525,631,643,629,639,632,644,
2525,,,,,701,710,
,,,,,,,
2570,134,146,,,,,
2570,154,201,170,182,,,
2570,208,218,208,218,,,
2570,391,534,410,431,,,
2570,,,431,440,,,
2570,,,440,558,502,572,
2570,703,764,,,,,
,,,,,,,
2615,433,442,421,485,455,465,
2615,449,459,,,,,
2615,462,478,,,469,501,
2615,543,563,,,,,
2615,693,712,694,707,,,
2615,,,,,,,
,,,,,,,
2660,,,,,,,
,,,,,,,
2705,166,178,166,175,,,
2705,244,268,,,,,
2705,,,935,950,917,944,
2705,,,,,947,950,
,,,,,,,
,,,,,,,
2750,420,480,415,480,417,440,
2750,688,704,660,702,643,688,
2750,707,768,,,689,698,
2750,,,721,751,716,741,
2750,,,843,867,839,867,
,,,,,,,
,,,,,,,
2795,454,481,454,487,457,546,
2795,561,571,556,596,563,618,
2795,808,830,,,,,
2795,879,895,876,892,,,
2795,,,1305,1330,,,
,,,,,,,
2840,261,307,,,,,
2840,316,326,,,,,
2840,341,420,356,477,350,408,
2840,455,472,,,467,477,
2840,475,485,498,511,481,512,
2840,,,514,569,519,542,
2840,578,632,588,624,,,
,,,,,,,
2885,0,36,,,,,"Solar panel for about the first 200 frames, interference really picks up around frame 900"
2885,,,31,40,,,
2885,45,151,40,49,,,
2885,,,82,130,,,
2885,468,483,472,487,462,486,
2885,551,613,494,577,501,580,
2885,,,579,618,590,607,
2885,677,914,652,940,666,930,
,,,,,,,
2,585,595,,,,,1385
2,,,631,649,,,1385
2,,,1041,1059,1054,1063,1385
2,1105,1122,1099,1116,,,1385
,,,,,,,
4,351,373,363,375,,,1406
4,381,396,,,,,1406
4,396,405,,,,,1406
4,707,722,711,725,,,1406
4,,,,,907,927,1406
4,937,1013,940,982,948,963,1406
4,1026,1063,1037,1049,1042,1050,1406
4,,,1144,1154,,,1406
4,1206,1216,1188,1220,1198,1215,1406
,,,,,,,
6,1009,,986,1039,987,1014,1425
6,1041,1077,1041,1083,1029,1075,1425
6,1085,1093,,,,,1425
6,,,,,1106,1123,1425
6,1128,1141,,,,,1425
6,1154,1180,,,,,1425
6,1194,1204,,,,,1425
,,,,,,,
8,,,,,472,491,1410
8,,,,,515,522,1410
8,,,528,538,,,1410
8,,,561,578,,,1410
8,,,588,606,,,1410
8,997,1042,989,1033,997,1027,1410
8,,,1046,1055,1037,1055,1410
8,1057,1143,1086,1135,1082,1171,1410
8,,,,,1309,1355,1410
8,,,,,1399,1410,1410
,,,,,,,
10,,,747,764,745,761,1409
10,,,793,808,,,1409
10,810,824,814,831,816,824,1409
10,832,867,859,866,,,1409
10,,,873,881,,,1409
10,883,894,883,896,,,1409
10,898,909,897,915,,,1409
10,1086,1127,,,,,1409
10,,,1138,1147,,,1409
10,,,1149,1175,1152,1176,1409
10,1209,1409,1196,1393,1202,1353,1409
,,,,,,,
12,1040,1058,1023,1348,1028,1321,1404
12,1091,1330,,,,,1404
,,,,,,,
14,,,403,432,388,433,1406
14,485,493,,,,,1406
14,506,514,,,,,1406
14,920,926,,,,,1406
14,1037,1081,1037,1081,1053,1066,1406
14,1104,1113,1100,1113,,,1406
14,1132,1155,1131,1141,,,1406
14,,,,,1275,1281,1406
14,,,1287,1312,1283,1314,1406
14,1323,1347,1321,1327,,,1406
14,1354,1361,1357,1364,,,1406
,,,,,,,
16,,,1037,1049,1036,1044,1406
16,1120,1239,1086,1116,1108,1206,1406
16,,,1122,1251,,,1406
16,1266,1343,1284,1305,1283,1306,1406
16,1358,1406,1326,1362,1333,1393,1406
16,,,1369,1397,,,1406
,,,,,,,
18,,,,,,,1414
,,,,,,,
20,,,813,861,819,865,1419
20,907,916,,,,,1419
20,,,935,946,,,1419
20,,,961,969,,,1419
20,,,,,986,1000,1419
20,,,1014,1024,,,1419
20,1033,1136,1070,1143,1024,1089,1419
20,1141,1154,1144,1154,,,1419
20,1200,1214,,,,,1419
20,1303,1316,,,,,1419
20,1316,1377,1329,1350,,,1419
20,1392,1413,,,,,1419
20,1418,1419,,,,,1419
,,,,,,,
30,439,483,431,497,434,498,1461
30,1054,1068,1049,1065,,,1461
30,1119,1128,1099,1128,1099,1219,1461
30,1132,1144,1130,1190,,,1461
30,1162,1208,1201,1262,1246,1262,1461
30,1268,1288,1268,1318,1268,1286,1461
,,,,,,,
45,,,298,316,,,1497
45,473,,470,,474,,1497
45,518,528,,,,,1497
45,544,555,,,,,1497
45,980,989,,,,,1497
45,1038,1131,1043,1124,1050,1082,1497
45,,,,,1085,1107,1497
45,1148,1180,1165,1291,1158,1268,1497
45,1205,1236,,,,,1497
45,1263,1289,,,,,1497
45,1291,1304,,,,,1497
,,,,,,,
90,113,209,67,158,118,134,1421
90,417,450,,,,,1421
90,690,960,672,817,671,954,1421
90,966,1007,971,992,956,1000,1421
90,,,992,1014,,,1421
90,1214,1311,1184,1282,1196,1263,1421
,,,,,,,
135,77,90,81,91,,,1925
135,116,,114,131,,,1925
135,,,134,185,,,1925
135,,,,,697,705,1925
135,,,715,743,709,718,1925
135,723,737,,,,,1925
135,741,871,755,851,738,787,1925
135,,,,,796,854,1925
135,994,1102,949,1004,950,960,1925
135,,,1077,1102,,,1925
,,,,,,,
180,,,139,149,139,148,1325
180,240,249,241,248,,,1325
