Orbit #,"(7,2)start","(7,2)end","(7,1)start","(7,1)end","(7,0)start","(7,0)end",
1,,,263,277,,,"Not clouds, just lights"
1,498,684,502,523,523,599,
1,,,533,689,609,693,
1,717,762,712,727,708,751,
1,,,730,757,,,
1,785,806,788,806,758,870,
1,963,969,944,978,917,987,City/oil rig lights
1,992,1060,990,1010,994,1000,City/oil rig lights
1,1161,1171,1016,1024,1004,1012,City/oil rig lights
1,1253,1275,1133,1176,1082,1091,
1,1308,1344,1180,1206,1098,1118,
1,1353,1361,1210,1236,1134,1175,
1,,,1252,1262,,,
1,,,1285,1301,,,
1,,,1357,1363,,,
1,,,1377,1395,,,
,,,,,,,
45,0,1,,,,,
45,54,131,106,153,134,158,
45,,,299,314,306,313,
45,454,464,,,465,488,Lights
45,497,514,478,492,481,497,
45,518,527,496,508,,,
45,,,567,575,561,572,Lights
45,,,581,630,576,602,Lights
45,703,727,,,,,"Pretty faint, not obvious, may be ignored?"
45,901,922,899,905,889,897,Lights
45,981,988,907,922,,,Lights
45,1039,1050,1053,1077,1070,1081,
45,1058,1130,1112,1121,1090,1106,
45,,,,,1116,1125,
45,1206,1235,1170,1288,1163,1264,
45,1263,1287,1298,1306,,,
45,1292,1303,,,,,
,,,,,,,
75,514,532,926,994,895,974,
75,908,995,1050,1063,1087,1127,
75,1040,1063,1119,1127,1144,1151,
75,1148,1206,1132,1145,1182,1208,
75,,,1148,1225,,,
,,,,,,,
90,0,32,0,10,2,11,
90,693,815,14,51,34,46,
90,835,956,69,147,679,722,
90,993,1000,684,725,738,749,
90,1247,1309,728,737,755,815,
90,,,741,800,823,902,
90,,,832,924,928,936,
90,,,973,983,969,999,
90,,,993,1013,1223,1241,
90,,,1188,1206,1242,1259,
90,,,1208,1235,,,
90,,,1248,1274,,,
,,,,,,,
105,0,30,618,648,51,68,
105,280,289,651,690,139,153,
105,639,673,755,764,573,633,
105,680,703,769,834,635,669,
105,746,764,838,864,711,718,
105,785,827,891,907,788,834,
105,960,1017,933,943,844,864,
105,1048,1060,947,959,924,968,
105,,,962,1007,,,
105,,,1011,1054,,,
,,,,,,,
120,239,265,34,64,186,195,
120,641,656,73,88,236,254,
120,661,674,220,283,283,291,
120,704,714,314,322,674,685,
120,753,783,628,656,697,766,
120,796,803,675,697,768,782,
120,813,875,702,766,833,852,
120,935,977,804,810,,,
120,1029,1041,815,865,,,
120,,,948,973,,,
,,,,,,,
135,61,93,57,99,63,115,
135,145,157,197,206,344,351,
135,193,204,230,240,702,712,
135,807,820,250,292,791,814,
135,826,833,306,325,853,899,
135,840,852,376,383,911,927,
135,857,936,416,423,934,944,
135,938,985,725,737,958,967,
135,1110,1216,791,812,1048,1060,
135,1223,1245,831,858,1078,1090,
135,,,871,965,,,
135,,,1052,1216,,,
