Orbit #,"(7,2)start","(7,2)end","(7,1)start","(7,1)end","(7,0)start","(7,0)end",,
27,50,57,50,57,50,57,ah,
27,72,78,72,78,72,78,,
27,124,130,124,130,124,130,,
,,,,,,,,
51,256,267,256,267,256,267,,
51,378,390,378,390,378,390,,
51,451,461,451,461,451,461,,
,,,,,,,,
66,378,388,378,388,378,388,,
66,428,437,428,437,428,437,,
66,612,622,612,622,612,622,,
,,,,,,,,
87,0,340,0,340,0,340,am,
87,480,515,480,515,480,515,,
87,560,586,560,586,560,586,,
87,646,766,646,766,646,766,,
87,869,1008,869,1008,869,1008,,
87,1049,1128,1049,1128,1049,1128,,
87,1250,1334,1250,1334,1250,1334,,
87,1354,1426,1354,1426,1354,1426,,
,,,,,,,,
105,0,380,0,380,0,380,,
105,440,540,440,540,440,540,,
105,580,965,580,965,580,965,,
105,1020,1073,1020,1073,1020,1073,,
105,1180,1240,1180,1240,1180,1240,,
105,1399,1399,1399,1399,1399,1399,,
,,,,,,,,
120,69,416,69,416,69,416,,
120,598,1113,598,1113,598,1113,,
120,1193,1252,1193,1252,1193,1252,,
120,1342,1382,1342,1382,1342,1382,,
,,,,,,,,
3,0,78,0,78,0,78,aw,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
6,113,150,113,150,113,150,,
6,190,310,190,310,190,310,,
6,612,690,612,690,612,690,,
6,860,944,860,944,860,944,,
6,967,1380,967,1380,967,1380,,
,,,,,,,,
,,,,,,,,
45,390,425,390,425,390,425,,
45,790,857,790,857,790,857,,
45,880,1005,880,1005,880,1005,,
45,1024,1134,1024,1134,1024,1134,,
45,1174,1200,1174,1200,1174,1200,,
45,1209,1224,1209,1224,1209,1224,,
45,1234,1290,1234,1290,1234,1290,,
,,,,,,,,
63,34,40,34,40,34,40,im,
63,147,179,147,179,147,179,,
63,466,511,466,511,466,511,,
63,601,614,601,614,601,614,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
102,172,238,172,238,172,238,,
102,736,828,736,828,736,828,,
102,964,1044,964,1044,964,1044,,
102,1356,1396,1356,1396,1356,1396,,
,,,,,,,,
15,1,697,1,697,1,697,jb,
,,,,,,,,
24,1,583,1,583,1,583,,
24,655,1295,655,1295,655,1295,,
24,1415,1424,1415,1424,1415,1424,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
96,500,560,500,560,500,560,jp,
96,566,600,566,600,566,600,,
96,760,787,760,787,760,787,,
96,799,860,799,860,799,860,,
96,873,1085,873,1085,873,1085,,
96,1120,1140,1120,1140,1120,1140,,
96,1160,1187,1160,1187,1160,1187,,
96,1215,1228,1215,1228,1215,1228,,
,,,,,,,,
69,40,180,40,180,40,180,,
69,823,900,823,900,823,900,,
69,1043,1190,1043,1190,1043,1190,,
69,1240,1260,1240,1260,1240,1260,,
,,,,,,,,
111,80,200,80,200,80,200,,
111,403,563,403,563,403,563,,
111,660,775,660,775,660,775,,
111,875,949,875,949,875,949,,
111,960,1280,960,1280,960,1280,,
,,,,,,,,
135,140,179,140,179,140,179,mk,
135,354,369,354,369,354,369,,
