Threshold,True_Negatives,False_Positives,False_Negatives,True_Positives,Accuracy,Recall
0.0,0,3323,0,3237,0.49344512195121953,1.0
0.01,267,3056,1,3236,0.5339939024390243,0.9996910719802286
0.02,335,2988,2,3235,0.5442073170731707,0.9993821439604572
0.03,403,2920,4,3233,0.5542682926829269,0.9987642879209144
0.04,455,2868,4,3233,0.5621951219512196,0.9987642879209144
0.05,510,2813,4,3233,0.5705792682926829,0.9987642879209144
0.06,559,2764,5,3232,0.5778963414634146,0.998455359901143
0.07,606,2717,5,3232,0.5850609756097561,0.998455359901143
0.08,651,2672,7,3230,0.5916158536585366,0.9978375038616002
0.09,704,2619,7,3230,0.5996951219512195,0.9978375038616002
0.1,750,2573,8,3229,0.6065548780487805,0.9975285758418289
0.11,798,2525,11,3226,0.6134146341463415,0.9966017917825146
0.12,856,2467,12,3225,0.6221036585365853,0.9962928637627433
0.13,902,2421,17,3220,0.6283536585365853,0.9947482236638863
0.14,950,2373,22,3215,0.6349085365853658,0.9932035835650294
0.15,1004,2319,24,3213,0.6428353658536585,0.9925857275254866
0.16,1055,2268,29,3208,0.6498475609756098,0.9910410874266296
0.17,1111,2212,29,3208,0.6583841463414634,0.9910410874266296
0.18,1178,2145,32,3205,0.668140243902439,0.9901143033673154
0.19,1229,2094,36,3201,0.6753048780487805,0.9888785912882299
0.2,1297,2026,43,3194,0.6846036585365853,0.98671609514983
0.21,1349,1974,49,3188,0.6916158536585366,0.9848625270312017
0.22,1399,1924,53,3184,0.6986280487804878,0.9836268149521161
0.23,1461,1862,64,3173,0.7064024390243903,0.9802286067346309
0.24,1530,1793,82,3155,0.7141768292682927,0.9746679023787458
0.25,1588,1735,97,3140,0.7207317073170731,0.9700339820821748
0.26,1640,1683,107,3130,0.7271341463414634,0.9669447018844609
0.27,1699,1624,123,3114,0.7336890243902439,0.9620018535681186
0.28,1759,1564,130,3107,0.7417682926829269,0.9598393574297188
0.29,1816,1507,148,3089,0.7477134146341463,0.9542786530738337
0.3,1873,1450,168,3069,0.7533536585365853,0.9481000926784059
0.31,1929,1394,182,3055,0.7597560975609756,0.9437751004016064
0.32,1995,1328,202,3035,0.7667682926829268,0.9375965400061785
0.33,2050,1273,223,3014,0.7719512195121951,0.9311090515909793
0.34,2134,1189,239,2998,0.7823170731707317,0.9261662032746371
0.35,2191,1132,266,2971,0.786890243902439,0.9178251467408094
0.36,2264,1059,304,2933,0.7922256097560976,0.9060858819894965
0.37,2336,987,340,2897,0.7977134146341464,0.8949644732777263
0.38,2391,932,368,2869,0.801829268292683,0.8863144887241273
0.39,2457,866,411,2826,0.8053353658536585,0.8730305838739574
0.4,2521,802,455,2782,0.8083841463414634,0.8594377510040161
0.41,2593,730,485,2752,0.8147865853658537,0.8501699104108743
0.42,2648,675,528,2709,0.8166158536585366,0.8368860055607044
0.43,2702,621,579,2658,0.8170731707317073,0.8211306765523633
0.44,2749,574,624,2613,0.8173780487804878,0.8072289156626506
0.45,2801,522,676,2561,0.8173780487804878,0.7911646586345381
0.46,2843,480,734,2503,0.8149390243902439,0.7732468334877973
0.47,2884,439,776,2461,0.8147865853658537,0.7602718566573988
0.48,2917,406,811,2426,0.8144817073170731,0.7494593759654
0.49,2940,383,846,2391,0.8126524390243902,0.7386468952734013
0.5,2963,360,872,2365,0.8121951219512196,0.7306147667593451
0.51,2989,334,907,2330,0.8108231707317073,0.7198022860673463
0.52,3000,323,934,2303,0.8083841463414634,0.7114612295335186
0.53,3018,305,961,2276,0.8070121951219512,0.7031201729996911
0.54,3036,287,987,2250,0.8057926829268293,0.6950880444856349
0.55,3046,277,1009,2228,0.8039634146341463,0.6882916280506642
0.56,3059,264,1037,2200,0.8016768292682926,0.6796416434970651
0.57,3073,250,1060,2177,0.8003048780487805,0.6725362990423231
0.58,3086,237,1094,2143,0.7971036585365854,0.6620327463700958
0.59,3099,224,1121,2116,0.7949695121951219,0.6536916898362681
0.6,3115,208,1147,2090,0.7934451219512195,0.6456595613222119
0.61,3126,197,1180,2057,0.7900914634146341,0.6354649366697559
0.62,3141,182,1218,2019,0.7865853658536586,0.623725671918443
0.63,3157,166,1254,1983,0.7835365853658537,0.6126042632066728
0.64,3170,153,1291,1946,0.7798780487804878,0.6011739264751313
0.65,3182,141,1327,1910,0.776219512195122,0.5900525177633611
0.66,3198,125,1369,1868,0.7722560975609756,0.5770775409329626
0.67,3207,116,1414,1823,0.7667682926829268,0.56317578004325
0.68,3217,106,1448,1789,0.7631097560975609,0.5526722273710225
0.69,3229,94,1481,1756,0.7599085365853658,0.5424776027185666
0.7,3236,87,1515,1722,0.7557926829268292,0.5319740500463392
0.71,3247,76,1551,1686,0.7519817073170731,0.5208526413345691
0.72,3256,67,1592,1645,0.7471036585365853,0.5081865925239419
0.73,3263,60,1626,1611,0.7429878048780488,0.4976830398517145
0.74,3268,55,1667,1570,0.7375,0.4850169910410874
0.75,3273,50,1703,1534,0.7327743902439025,0.4738955823293173
0.76,3280,43,1744,1493,0.7275914634146341,0.46122953351869017
0.77,3285,38,1782,1455,0.7225609756097561,0.4494902687673772
0.78,3287,36,1816,1421,0.7176829268292683,0.43898671609514983
0.79,3289,34,1850,1387,0.7128048780487805,0.4284831634229225
0.8,3290,33,1898,1339,0.7056402439024391,0.41365461847389556
0.81,3292,31,1942,1295,0.6992378048780488,0.4000617856039543
0.82,3292,31,1975,1262,0.6942073170731707,0.3898671609514983
0.83,3296,27,2025,1212,0.6871951219512196,0.3744207599629286
0.84,3298,25,2077,1160,0.6795731707317073,0.3583565029348162
0.85,3302,21,2103,1134,0.676219512195122,0.35032437442076
0.86,3304,19,2159,1078,0.6679878048780488,0.3330244053135619
0.87,3307,16,2205,1032,0.6614329268292682,0.31881371640407785
0.88,3310,13,2245,992,0.6557926829268292,0.30645659561322214
0.89,3311,12,2286,951,0.6496951219512195,0.293790546802595
0.9,3312,11,2318,919,0.644969512195122,0.2839048501699104
0.91,3315,8,2380,857,0.6359756097560976,0.26475131294408405
0.92,3317,6,2427,810,0.6291158536585366,0.25023169601482853
0.93,3319,4,2481,756,0.6211890243902439,0.23354958294717332
0.94,3319,4,2535,702,0.6129573170731707,0.21686746987951808
0.95,3319,4,2586,651,0.6051829268292683,0.20111214087117701
0.96,3320,3,2634,603,0.5980182926829268,0.18628359592215013
0.97,3320,3,2696,541,0.5885670731707318,0.16713005869632375
0.98,3321,2,2765,472,0.5782012195121952,0.1458140253320976
0.99,3322,1,2858,379,0.5641768292682927,0.11708371949335805
1.0,3323,0,3186,51,0.5143292682926829,0.015755329008341055
