Threshold,True_Negatives,False_Positives,False_Negatives,True_Positives,Accuracy,Recall
0.0,0,3258,0,3302,0.5033536585365853,1.0
0.01,634,2624,2,3300,0.5996951219512195,0.9993943064809206
0.02,753,2505,3,3299,0.6176829268292683,0.999091459721381
0.03,839,2419,3,3299,0.6307926829268292,0.999091459721381
0.04,912,2346,4,3298,0.6417682926829268,0.9987886129618413
0.05,966,2292,6,3296,0.6496951219512195,0.9981829194427619
0.06,1026,2232,9,3293,0.6583841463414634,0.997274379164143
0.07,1090,2168,12,3290,0.6676829268292683,0.9963658388855239
0.08,1148,2110,17,3285,0.6757621951219512,0.9948516050878256
0.09,1196,2062,23,3279,0.6821646341463414,0.9930345245305875
0.1,1244,2014,26,3276,0.6890243902439024,0.9921259842519685
0.11,1296,1962,27,3275,0.6967987804878049,0.9918231374924288
0.12,1335,1923,30,3272,0.7022865853658536,0.9909145972138098
0.13,1383,1875,35,3267,0.7088414634146342,0.9894003634161115
0.14,1426,1832,39,3263,0.7147865853658537,0.9881889763779528
0.15,1470,1788,42,3260,0.7210365853658537,0.9872804360993337
0.16,1521,1737,49,3253,0.7277439024390244,0.985160508782556
0.17,1554,1704,54,3248,0.7320121951219513,0.9836462749848577
0.18,1611,1647,60,3242,0.7397865853658536,0.9818291944276196
0.19,1654,1604,67,3235,0.7452743902439024,0.9797092671108419
0.2,1700,1558,72,3230,0.7515243902439024,0.9781950333131435
0.21,1749,1509,85,3217,0.7570121951219512,0.9742580254391278
0.22,1793,1465,96,3206,0.7620426829268293,0.9709267110841914
0.23,1843,1415,106,3196,0.7681402439024391,0.9678982434887947
0.24,1879,1379,118,3184,0.7717987804878049,0.9642640823743186
0.25,1922,1336,134,3168,0.7759146341463414,0.9594185342216839
0.26,1970,1288,145,3157,0.7815548780487804,0.9560872198667474
0.27,2020,1238,161,3141,0.7867378048780488,0.9512416717141127
0.28,2083,1175,181,3121,0.7932926829268293,0.9451847365233192
0.29,2124,1134,188,3114,0.7984756097560975,0.9430648092065415
0.3,2176,1082,206,3096,0.8036585365853659,0.9376135675348274
0.31,2225,1033,225,3077,0.8082317073170732,0.9318594791035736
0.32,2272,986,242,3060,0.8128048780487804,0.9267110841913991
0.33,2315,943,259,3043,0.8167682926829268,0.9215626892792247
0.34,2359,899,277,3025,0.8207317073170731,0.9161114476075106
0.35,2404,854,298,3004,0.824390243902439,0.9097516656571775
0.36,2441,817,313,2989,0.8277439024390244,0.9052089642640824
0.37,2481,777,332,2970,0.8309451219512195,0.8994548758328286
0.38,2519,739,351,2951,0.8338414634146342,0.8937007874015748
0.39,2564,694,375,2927,0.8370426829268293,0.8864324651726226
0.4,2605,653,397,2905,0.8399390243902439,0.8797698364627499
0.41,2642,616,415,2887,0.8428353658536586,0.8743185947910357
0.42,2676,582,427,2875,0.8461890243902439,0.8706844336765597
0.43,2709,549,457,2845,0.8466463414634147,0.8615990308903695
0.44,2740,518,480,2822,0.8478658536585366,0.854633555420957
0.45,2769,489,506,2796,0.8483231707317073,0.8467595396729255
0.46,2785,473,522,2780,0.8483231707317073,0.8419139915202908
0.47,2812,446,551,2751,0.8480182926829268,0.8331314354936402
0.48,2837,421,566,2736,0.8495426829268292,0.8285887341005451
0.49,2853,405,580,2722,0.8498475609756098,0.8243488794669896
0.5,2866,392,608,2694,0.8475609756097561,0.8158691701998788
0.51,2878,380,633,2669,0.8455792682926829,0.8082980012113871
0.52,2891,367,648,2654,0.8452743902439024,0.803755299818292
0.53,2901,357,675,2627,0.8426829268292683,0.7955784373107208
0.54,2910,348,693,2609,0.8413109756097561,0.7901271956390067
0.55,2924,334,714,2588,0.8402439024390244,0.7837674136886735
0.56,2947,311,736,2566,0.8403963414634147,0.7771047849788008
0.57,2960,298,761,2541,0.8385670731707318,0.7695336159903089
0.58,2973,285,783,2519,0.8371951219512195,0.7628709872804361
0.59,2985,273,801,2501,0.8362804878048781,0.7574197456087219
0.6,2994,264,825,2477,0.8339939024390244,0.7501514233797698
0.61,3027,231,870,2432,0.8321646341463415,0.7365233192004845
0.62,3035,223,900,2402,0.8288109756097561,0.7274379164142943
0.63,3055,203,927,2375,0.8277439024390244,0.7192610539067232
0.64,3067,191,951,2351,0.8259146341463415,0.711992731677771
0.65,3079,179,982,2320,0.8230182926829268,0.7026044821320412
0.66,3095,163,1000,2302,0.8227134146341464,0.6971532404603271
0.67,3105,153,1033,2269,0.8192073170731707,0.6871592973955178
0.68,3113,145,1065,2237,0.8155487804878049,0.6774682010902483
0.69,3126,132,1100,2202,0.8121951219512196,0.6668685645063598
0.7,3133,125,1133,2169,0.8082317073170732,0.6568746214415506
0.71,3139,119,1165,2137,0.8042682926829269,0.6471835251362811
0.72,3151,107,1201,2101,0.800609756097561,0.6362810417928528
0.73,3165,93,1268,2034,0.792530487804878,0.6159903089036948
0.74,3172,86,1306,1996,0.7878048780487805,0.6044821320411872
0.75,3178,80,1340,1962,0.7835365853658537,0.5941853422168383
0.76,3188,70,1369,1933,0.780640243902439,0.5854027861901878
0.77,3197,61,1398,1904,0.7775914634146341,0.5766202301635373
0.78,3210,48,1449,1853,0.7717987804878049,0.5611750454270139
0.79,3212,46,1484,1818,0.7667682926829268,0.5505754088431254
0.8,3217,41,1528,1774,0.7608231707317074,0.5372501514233797
0.81,3221,37,1551,1751,0.7579268292682927,0.5302846759539673
0.82,3228,30,1588,1714,0.7533536585365853,0.5190793458509994
0.83,3233,25,1625,1677,0.7484756097560976,0.5078740157480315
0.84,3235,23,1666,1636,0.7425304878048781,0.4954572986069049
0.85,3239,19,1701,1601,0.7378048780487805,0.48485766202301633
0.86,3239,19,1739,1563,0.7320121951219513,0.4733494851605088
0.87,3240,18,1775,1527,0.7266768292682927,0.46244700181708054
0.88,3244,14,1821,1481,0.7202743902439024,0.4485160508782556
0.89,3246,12,1866,1436,0.713719512195122,0.4348879466989703
0.9,3250,8,1905,1397,0.7083841463414634,0.4230769230769231
0.91,3251,7,1953,1349,0.7012195121951219,0.40854027861901876
0.92,3253,5,1990,1312,0.6958841463414634,0.3973349485160509
0.93,3253,5,2031,1271,0.6896341463414634,0.3849182313749243
0.94,3253,5,2082,1220,0.681859756097561,0.36947304663840097
0.95,3253,5,2145,1157,0.6722560975609756,0.35039370078740156
0.96,3253,5,2204,1098,0.6632621951219512,0.33252574197456086
0.97,3253,5,2275,1027,0.6524390243902439,0.3110236220472441
0.98,3255,3,2365,937,0.6390243902439025,0.28376741368867353
0.99,3256,2,2495,807,0.619359756097561,0.24439733494851604
1.0,3258,0,3139,163,0.5214939024390244,0.049364021804966685
