Threshold,True_Negatives,False_Positives,False_Negatives,True_Positives,Accuracy,Recall
0.0,0,3196,0,3364,0.5128048780487805,1.0
0.01,505,2691,0,3364,0.5897865853658537,1.0
0.02,610,2586,0,3364,0.6057926829268293,1.0
0.03,704,2492,0,3364,0.6201219512195122,1.0
0.04,793,2403,0,3364,0.6336890243902439,1.0
0.05,858,2338,1,3363,0.6434451219512195,0.9997027348394768
0.06,908,2288,2,3362,0.6509146341463414,0.9994054696789536
0.07,964,2232,5,3359,0.6589939024390243,0.998513674197384
0.08,1023,2173,7,3357,0.6676829268292683,0.9979191438763377
0.09,1070,2126,9,3355,0.6745426829268293,0.9973246135552913
0.1,1121,2075,9,3355,0.6823170731707318,0.9973246135552913
0.11,1165,2031,12,3352,0.6885670731707317,0.9964328180737217
0.12,1207,1989,13,3351,0.6948170731707317,0.9961355529131986
0.13,1256,1940,17,3347,0.7016768292682927,0.9949464922711059
0.14,1303,1893,18,3346,0.708689024390244,0.9946492271105827
0.15,1358,1838,22,3342,0.7164634146341463,0.9934601664684899
0.16,1414,1782,27,3337,0.7242378048780488,0.9919738406658739
0.17,1467,1729,32,3332,0.7315548780487805,0.990487514863258
0.18,1517,1679,40,3324,0.7379573170731707,0.9881093935790726
0.19,1555,1641,44,3320,0.743140243902439,0.9869203329369798
0.2,1609,1587,51,3313,0.7503048780487804,0.9848394768133175
0.21,1649,1547,59,3305,0.7551829268292682,0.9824613555291319
0.22,1705,1491,69,3295,0.7621951219512195,0.9794887039239001
0.23,1759,1437,80,3284,0.76875,0.976218787158145
0.24,1834,1362,87,3277,0.7791158536585366,0.9741379310344828
0.25,1878,1318,101,3263,0.7836890243902439,0.9699762187871581
0.26,1925,1271,118,3246,0.7882621951219512,0.964922711058264
0.27,1967,1229,128,3236,0.793140243902439,0.9619500594530321
0.28,2013,1183,155,3209,0.7960365853658536,0.953923900118906
0.29,2050,1146,172,3192,0.7990853658536585,0.9488703923900119
0.3,2109,1087,187,3177,0.8057926829268293,0.9444114149821641
0.31,2177,1019,205,3159,0.8134146341463414,0.9390606420927468
0.32,2236,960,232,3132,0.8182926829268292,0.9310344827586207
0.33,2291,905,252,3112,0.8236280487804878,0.925089179548157
0.34,2351,845,284,3080,0.8278963414634146,0.915576694411415
0.35,2411,785,315,3049,0.8323170731707317,0.9063614744351962
0.36,2467,729,342,3022,0.8367378048780488,0.8983353151010701
0.37,2510,686,374,2990,0.8384146341463414,0.8888228299643282
0.38,2551,645,398,2966,0.8410060975609757,0.8816884661117717
0.39,2585,611,421,2943,0.8426829268292683,0.8748513674197385
0.4,2616,580,448,2916,0.8432926829268292,0.8668252080856124
0.41,2648,548,477,2887,0.84375,0.85820451843044
0.42,2677,519,499,2865,0.8448170731707317,0.8516646848989299
0.43,2699,497,527,2837,0.8439024390243902,0.8433412604042806
0.44,2721,475,546,2818,0.844359756097561,0.8376932223543401
0.45,2753,443,571,2793,0.8454268292682927,0.8302615933412604
0.46,2765,431,588,2776,0.8446646341463414,0.8252080856123662
0.47,2778,418,614,2750,0.8426829268292683,0.8174791914387634
0.48,2798,398,633,2731,0.8428353658536586,0.8118311533888228
0.49,2807,389,652,2712,0.8413109756097561,0.8061831153388823
0.5,2821,375,679,2685,0.839329268292683,0.7981569560047562
0.51,2838,358,701,2663,0.8385670731707318,0.7916171224732461
0.52,2856,340,726,2638,0.8375,0.7841854934601664
0.53,2870,326,747,2617,0.8364329268292683,0.7779429250891795
0.54,2886,310,759,2605,0.8370426829268293,0.7743757431629013
0.55,2893,303,787,2577,0.8338414634146342,0.7660523186682521
0.56,2921,275,836,2528,0.8306402439024391,0.751486325802616
0.57,2930,266,852,2512,0.8295731707317073,0.746730083234245
0.58,2945,251,879,2485,0.8277439024390244,0.7387039239001189
0.59,2964,232,909,2455,0.8260670731707317,0.7297859690844233
0.6,2977,219,942,2422,0.8230182926829268,0.7199762187871581
0.61,2987,209,965,2399,0.8210365853658537,0.7131391200951248
0.62,2999,197,1004,2360,0.816920731707317,0.7015457788347206
0.63,3012,184,1031,2333,0.8147865853658537,0.6935196195005945
0.64,3022,174,1056,2308,0.8125,0.6860879904875149
0.65,3036,160,1081,2283,0.8108231707317073,0.6786563614744352
0.66,3052,144,1110,2254,0.8088414634146341,0.6700356718192628
0.67,3067,129,1133,2231,0.8076219512195122,0.6631985731272295
0.68,3080,116,1165,2199,0.8047256097560975,0.6536860879904876
0.69,3089,107,1194,2170,0.8016768292682926,0.6450653983353151
0.7,3098,98,1221,2143,0.7989329268292683,0.6370392390011891
0.71,3103,93,1249,2115,0.7954268292682927,0.6287158145065398
0.72,3109,87,1289,2075,0.7902439024390244,0.6168252080856124
0.73,3119,77,1323,2041,0.7865853658536586,0.606718192627824
0.74,3126,70,1352,2012,0.7832317073170731,0.5980975029726516
0.75,3129,67,1385,1979,0.7786585365853659,0.5882877526753865
0.76,3139,57,1411,1953,0.776219512195122,0.5805588585017836
0.77,3145,51,1441,1923,0.7725609756097561,0.571640903686088
0.78,3146,50,1471,1893,0.7681402439024391,0.5627229488703924
0.79,3150,46,1505,1859,0.7635670731707317,0.5526159334126041
0.8,3152,44,1536,1828,0.7591463414634146,0.5434007134363853
0.81,3155,41,1565,1799,0.7551829268292682,0.5347800237812128
0.82,3159,37,1603,1761,0.75,0.5234839476813318
0.83,3164,32,1627,1737,0.7471036585365853,0.5163495838287753
0.84,3167,29,1669,1695,0.7411585365853659,0.5038644470868014
0.85,3172,24,1700,1664,0.7371951219512195,0.4946492271105826
0.86,3172,24,1739,1625,0.73125,0.48305588585017833
0.87,3173,23,1776,1588,0.7257621951219512,0.47205707491082044
0.88,3177,19,1818,1546,0.719969512195122,0.4595719381688466
0.89,3178,18,1854,1510,0.7146341463414634,0.44887039239001186
0.9,3179,17,1896,1468,0.7083841463414634,0.43638525564803804
0.91,3180,16,1936,1428,0.7024390243902439,0.4244946492271106
0.92,3181,15,1981,1383,0.6957317073170731,0.4111177170035672
0.93,3182,14,2038,1326,0.6871951219512196,0.39417360285374553
0.94,3187,9,2088,1276,0.6803353658536585,0.3793103448275862
0.95,3190,6,2140,1224,0.6728658536585366,0.3638525564803805
