orbit,TN,FP,FN,TP,accuracy,recall
00002,3666,397,22,73,0.8992303992303993,0.7684210526315789
00004,3388,451,62,320,0.8784648187633263,0.837696335078534
00006,3742,247,74,215,0.9249649368863955,0.7439446366782007
00008,3239,481,25,488,0.880463028584928,0.9512670565302144
00010,2353,1017,132,728,0.7283687943262411,0.8465116279069768
00012,2904,432,0,879,0.8975088967971531,1.0
00014,3424,419,41,337,0.8910210850509358,0.8915343915343915
00016,2705,814,0,702,0.8071547026770908,1.0
00018,3344,901,0,0,0.7877502944640754,0.0
00020,3503,201,195,361,0.9070422535211268,0.6492805755395683
00030,3073,651,195,467,0.8071135430916553,0.7054380664652568
00045,3313,550,19,612,0.8733867378727191,0.9698890649762282
00090,1672,1256,73,1265,0.6884669479606188,0.945440956651719
00135,4241,838,79,620,0.841294565593631,0.8869814020028612
00180,2369,709,7,893,0.8200100553041729,0.9922222222222222
00225,1912,850,75,1021,0.7602384655261794,0.9315693430656934
00270,471,312,0,0,0.6015325670498084,0.0
00315,2063,1690,0,0,0.5496935784705569,0.0
00360,2166,297,0,0,0.879415347137637,0.0
00405,1610,1400,777,101,0.4400720164609053,0.11503416856492027
00450,3396,236,87,244,0.9184960888215998,0.7371601208459214
00495,1539,968,617,974,0.6132259638848219,0.612193588937775
00545,2525,229,768,756,0.7669471715755025,0.49606299212598426
00590,2668,683,589,353,0.7037037037037037,0.3747346072186836
00635,3689,173,119,42,0.9274173502361421,0.2608695652173913
00815,3305,199,233,91,0.8871473354231975,0.2808641975308642
01130,3451,98,99,120,0.9477176220806794,0.547945205479452
01175,2721,479,40,273,0.852263023057216,0.8722044728434505
01265,2810,433,0,0,0.866481652790626,0.0
01310,3466,173,59,40,0.9379347244515784,0.40404040404040403
01355,3233,277,17,343,0.924031007751938,0.9527777777777777
01400,3276,525,21,153,0.8626415094339622,0.8793103448275862
01445,3707,179,145,124,0.9220216606498195,0.46096654275092935
01490,2866,454,69,793,0.8749402199904353,0.919953596287703
02525,2774,873,127,204,0.7486173956762192,0.6163141993957704
02570,2579,607,103,419,0.8085221143473571,0.8026819923371648
02615,1315,1049,24,180,0.5821651090342679,0.8823529411764706
02660,466,377,0,0,0.5527876631079478,0.0
02705,1980,781,37,55,0.7132842621801613,0.5978260869565217
02750,2578,613,311,131,0.7456647398843931,0.29638009049773756
02795,3519,131,302,41,0.8915602304032056,0.119533527696793
02840,2876,476,332,249,0.7945588609204169,0.42857142857142855
02885,1647,1524,296,1051,0.5971668880035413,0.7802524127691166
