File,X,Y,Accuracy,Recall,True Positives (TP),Total Positives (TP+FN)
awe_l1c_q20_2023334T1637_00135_v01.nc,7,0,0.8785,0.6429,54,84
awe_l1c_q20_2023334T1637_00135_v01.nc,7,1,0.8686,0.845,109,129
awe_l1c_q20_2023334T1637_00135_v01.nc,7,2,0.92,0.9091,140,154
awe_l1c_q20_2023337T1420_00180_v01.nc,7,0,0.6765,0.0767,22,287
awe_l1c_q20_2023337T1420_00180_v01.nc,7,1,0.5935,0.2844,122,429
awe_l1c_q20_2023337T1420_00180_v01.nc,7,2,0.6252,0.3226,151,468
awe_l1c_q20_2023340T1202_00225_v01.nc,7,0,0.8507,0.7681,318,414
awe_l1c_q20_2023340T1202_00225_v01.nc,7,1,0.8025,0.7288,395,542
awe_l1c_q20_2023340T1202_00225_v01.nc,7,2,0.7691,0.6697,294,439
awe_l1c_q20_2023343T0954_00270_v01.nc,7,0,1.0,0.0,0,0
awe_l1c_q20_2023343T0954_00270_v01.nc,7,1,0.9349,0.0,0,0
awe_l1c_q20_2023343T0954_00270_v01.nc,7,2,0.9157,0.0,0,0
awe_l1c_q20_2023346T0733_00315_v01.nc,7,0,0.6882,0.0,0,0
awe_l1c_q20_2023346T0733_00315_v01.nc,7,1,0.6483,0.0,0,0
awe_l1c_q20_2023346T0733_00315_v01.nc,7,2,0.6139,0.0,0,0
awe_l1c_q20_2023349T0529_00360_v01.nc,7,0,0.8892,0.0,0,0
awe_l1c_q20_2023349T0529_00360_v01.nc,7,1,0.7089,0.0,0,0
awe_l1c_q20_2023349T0529_00360_v01.nc,7,2,0.8051,0.0,0,0
awe_l1c_q20_2023352T0307_00405_v01.nc,7,0,0.6103,0.1509,40,265
awe_l1c_q20_2023352T0307_00405_v01.nc,7,1,0.6003,0.0977,30,307
awe_l1c_q20_2023352T0307_00405_v01.nc,7,2,0.5494,0.0033,1,306
awe_l1c_q20_2023355T0046_00450_v01.nc,7,0,0.9107,0.5421,58,107
awe_l1c_q20_2023355T0046_00450_v01.nc,7,1,0.9039,0.4231,55,130
awe_l1c_q20_2023355T0046_00450_v01.nc,7,2,0.9485,0.5638,53,94
