Threshold,True_Negatives,False_Positives,False_Negatives,True_Positives
30,830,322,231,793
31,813,338,222,803
32,848,309,212,807
33,849,298,226,803
34,850,318,233,775
35,842,305,231,798
36,870,282,250,774
37,854,293,253,776
38,870,290,240,776
39,864,282,245,785
40,889,260,257,770
41,889,257,252,778
42,906,253,244,773
43,901,244,266,765
44,909,255,281,731
45,912,240,282,742
46,913,250,288,725
47,899,249,303,725
48,921,232,282,741
49,944,209,304,719
50,934,210,298,734
51,941,210,277,748
52,949,214,313,700
53,956,195,301,724
54,942,211,293,730
55,945,208,300,723
56,974,180,309,713
57,965,183,324,704
58,983,165,342,686
59,967,190,332,687
60,972,182,331,691
61,995,168,322,691
62,993,161,343,679
63,990,162,349,675
64,1004,156,341,675
65,1022,134,355,665
66,1025,141,346,664
67,1027,132,358,659
68,1017,125,381,653
69,999,148,380,649
70,1032,121,389,634
