Threshold,True_Negatives,False_Positives,False_Negatives,True_Positives,Accuracy,Recall
0.0,0,637,0,99,0.13451086956521738,1.0
0.01,559,78,11,88,0.8790760869565217,0.8888888888888888
0.02,578,59,15,84,0.8994565217391305,0.8484848484848485
0.03,591,46,16,83,0.9157608695652174,0.8383838383838383
0.04,597,40,17,82,0.9225543478260869,0.8282828282828283
0.05,602,35,18,81,0.9279891304347826,0.8181818181818182
0.06,607,30,18,81,0.9347826086956522,0.8181818181818182
0.07,610,27,18,81,0.938858695652174,0.8181818181818182
0.08,615,22,18,81,0.9456521739130435,0.8181818181818182
0.09,615,22,18,81,0.9456521739130435,0.8181818181818182
0.1,618,19,18,81,0.9497282608695652,0.8181818181818182
0.11,619,18,18,81,0.9510869565217391,0.8181818181818182
0.12,620,17,18,81,0.9524456521739131,0.8181818181818182
0.13,620,17,18,81,0.9524456521739131,0.8181818181818182
0.14,622,15,18,81,0.9551630434782609,0.8181818181818182
0.15,622,15,20,79,0.9524456521739131,0.797979797979798
0.16,622,15,20,79,0.9524456521739131,0.797979797979798
0.17,622,15,20,79,0.9524456521739131,0.797979797979798
0.18,622,15,20,79,0.9524456521739131,0.797979797979798
0.19,622,15,20,79,0.9524456521739131,0.797979797979798
0.2,622,15,20,79,0.9524456521739131,0.797979797979798
0.21,622,15,20,79,0.9524456521739131,0.797979797979798
0.22,622,15,20,79,0.9524456521739131,0.797979797979798
0.23,622,15,20,79,0.9524456521739131,0.797979797979798
0.24,623,14,20,79,0.9538043478260869,0.797979797979798
0.25,623,14,20,79,0.9538043478260869,0.797979797979798
0.26,623,14,20,79,0.9538043478260869,0.797979797979798
0.27,624,13,20,79,0.9551630434782609,0.797979797979798
0.28,624,13,20,79,0.9551630434782609,0.797979797979798
0.29,624,13,20,79,0.9551630434782609,0.797979797979798
0.3,625,12,20,79,0.9565217391304348,0.797979797979798
0.31,625,12,21,78,0.9551630434782609,0.7878787878787878
0.32,625,12,22,77,0.9538043478260869,0.7777777777777778
0.33,625,12,22,77,0.9538043478260869,0.7777777777777778
0.34,625,12,22,77,0.9538043478260869,0.7777777777777778
0.35,625,12,22,77,0.9538043478260869,0.7777777777777778
0.36,625,12,22,77,0.9538043478260869,0.7777777777777778
0.37,625,12,22,77,0.9538043478260869,0.7777777777777778
0.38,625,12,22,77,0.9538043478260869,0.7777777777777778
0.39,625,12,22,77,0.9538043478260869,0.7777777777777778
0.4,625,12,23,76,0.9524456521739131,0.7676767676767676
0.41,625,12,23,76,0.9524456521739131,0.7676767676767676
0.42,625,12,23,76,0.9524456521739131,0.7676767676767676
0.43,625,12,23,76,0.9524456521739131,0.7676767676767676
0.44,626,11,23,76,0.9538043478260869,0.7676767676767676
0.45,626,11,23,76,0.9538043478260869,0.7676767676767676
0.46,626,11,23,76,0.9538043478260869,0.7676767676767676
0.47,626,11,23,76,0.9538043478260869,0.7676767676767676
0.48,626,11,23,76,0.9538043478260869,0.7676767676767676
0.49,626,11,23,76,0.9538043478260869,0.7676767676767676
0.5,626,11,23,76,0.9538043478260869,0.7676767676767676
0.51,626,11,23,76,0.9538043478260869,0.7676767676767676
0.52,626,11,23,76,0.9538043478260869,0.7676767676767676
0.53,626,11,23,76,0.9538043478260869,0.7676767676767676
0.54,626,11,23,76,0.9538043478260869,0.7676767676767676
0.55,626,11,23,76,0.9538043478260869,0.7676767676767676
0.56,626,11,23,76,0.9538043478260869,0.7676767676767676
0.57,626,11,24,75,0.9524456521739131,0.7575757575757576
0.58,626,11,24,75,0.9524456521739131,0.7575757575757576
0.59,626,11,24,75,0.9524456521739131,0.7575757575757576
0.6,627,10,24,75,0.9538043478260869,0.7575757575757576
0.61,627,10,24,75,0.9538043478260869,0.7575757575757576
0.62,627,10,24,75,0.9538043478260869,0.7575757575757576
0.63,627,10,24,75,0.9538043478260869,0.7575757575757576
0.64,628,9,24,75,0.9551630434782609,0.7575757575757576
0.65,629,8,24,75,0.9565217391304348,0.7575757575757576
0.66,629,8,24,75,0.9565217391304348,0.7575757575757576
0.67,629,8,24,75,0.9565217391304348,0.7575757575757576
0.68,629,8,24,75,0.9565217391304348,0.7575757575757576
0.69,629,8,24,75,0.9565217391304348,0.7575757575757576
0.7,629,8,24,75,0.9565217391304348,0.7575757575757576
0.71,629,8,24,75,0.9565217391304348,0.7575757575757576
0.72,629,8,25,74,0.9551630434782609,0.7474747474747475
0.73,629,8,25,74,0.9551630434782609,0.7474747474747475
0.74,629,8,25,74,0.9551630434782609,0.7474747474747475
0.75,629,8,25,74,0.9551630434782609,0.7474747474747475
